,2017,,Pre 2017,,Difference,
 ELEVATION (feet) , Active Storage (million acre-feet) , Area (acres) , Active Storage (million acre-feet) , Area (acres) ,Volume (million acre-feet),Area (acres)
3602, 11.2 ," 91,176 ", 11.9 ," 96,441 ", 0.8 ," 5,266 "
3603, 11.3 ," 91,653 ", 12.0 ," 96,968 ", 0.8 ," 5,315 "
3604, 11.4 ," 92,178 ", 12.1 ," 97,495 ", 0.8 ," 5,317 "
3605, 11.4 ," 92,678 ", 12.2 ," 98,023 ", 0.8 ," 5,345 "
3606, 11.5 ," 93,217 ", 12.3 ," 98,550 ", 0.8 ," 5,333 "
3607, 11.6 ," 93,835 ", 12.4 ," 99,077 ", 0.8 ," 5,242 "
3608, 11.7 ," 94,539 ", 12.5 ," 99,604 ", 0.8 ," 5,064 "
3609, 11.8 ," 95,036 ", 12.6 ," 100,131 ", 0.8 ," 5,095 "
3610, 11.9 ," 95,615 ", 12.7 ," 100,658 ", 0.8 ," 5,043 "
3611, 12.0 ," 96,150 ", 12.8 ," 101,185 ", 0.8 ," 5,035 "
3612, 12.1 ," 96,748 ", 12.9 ," 101,712 ", 0.8 ," 4,965 "
3613, 12.2 ," 97,545 ", 13.0 ," 102,239 ", 0.8 ," 4,694 "
3614, 12.3 ," 98,295 ", 13.1 ," 102,766 ", 0.8 ," 4,472 "
3615, 12.4 ," 99,084 ", 13.2 ," 103,294 ", 0.8 ," 4,209 "
3616, 12.5 ," 99,873 ", 13.3 ," 103,821 ", 0.8 ," 3,947 "
3617, 12.6 ," 100,715 ", 13.4 ," 104,348 ", 0.8 ," 3,633 "
3618, 12.7 ," 101,547 ", 13.6 ," 104,875 ", 0.8 ," 3,328 "
3619, 12.8 ," 102,373 ", 13.7 ," 105,402 ", 0.8 ," 3,029 "
3620, 12.9 ," 103,101 ", 13.8 ," 105,929 ", 0.9 ," 2,828 "
3621, 13.0 ," 103,835 ", 13.9 ," 106,535 ", 0.9 ," 2,700 "
3622, 13.1 ," 104,506 ", 14.0 ," 107,142 ", 0.9 ," 2,635 "
3623, 13.2 ," 105,178 ", 14.1 ," 107,748 ", 0.9 ," 2,570 "
3624, 13.3 ," 105,832 ", 14.2 ," 108,354 ", 0.9 ," 2,522 "
3625, 13.4 ," 106,520 ", 14.3 ," 108,960 ", 0.9 ," 2,441 "
3626, 13.5 ," 107,208 ", 14.4 ," 109,567 ", 0.9 ," 2,359 "
3627, 13.6 ," 107,876 ", 14.5 ," 110,173 ", 0.9 ," 2,297 "
3628, 13.8 ," 108,556 ", 14.6 ," 110,779 ", 0.9 ," 2,223 "
3629, 13.9 ," 109,227 ", 14.7 ," 111,385 ", 0.9 ," 2,158 "
3630, 14.0 ," 109,888 ", 14.9 ," 111,992 ", 0.9 ," 2,103 "
3631, 14.1 ," 110,559 ", 15.0 ," 112,598 ", 0.9 ," 2,039 "
3632, 14.2 ," 111,249 ", 15.1 ," 113,204 ", 0.9 ," 1,955 "
3633, 14.3 ," 111,972 ", 15.2 ," 113,810 ", 0.9 ," 1,839 "
3634, 14.4 ," 112,760 ", 15.3 ," 114,417 ", 0.9 ," 1,656 "
3635, 14.5 ," 113,530 ", 15.4 ," 115,023 ", 0.9 ," 1,492 "
3636, 14.6 ," 114,213 ", 15.5 ," 115,629 ", 0.9 ," 1,416 "
3637, 14.8 ," 114,863 ", 15.7 ," 116,235 ", 0.9 ," 1,372 "
3638, 14.9 ," 115,511 ", 15.8 ," 116,842 ", 0.9 ," 1,331 "
3639, 15.0 ," 116,142 ", 15.9 ," 117,448 ", 0.9 ," 1,305 "
3640, 15.1 ," 116,779 ", 16.0 ," 118,054 ", 0.9 ," 1,275 "
3641, 15.2 ," 117,418 ", 16.1 ," 118,696 ", 0.9 ," 1,278 "
3642, 15.3 ," 118,042 ", 16.2 ," 119,339 ", 0.9 ," 1,297 "
3643, 15.5 ," 118,657 ", 16.4 ," 119,981 ", 0.9 ," 1,324 "
3644, 15.6 ," 119,287 ", 16.5 ," 120,623 ", 0.9 ," 1,336 "
3645, 15.7 ," 119,929 ", 16.6 ," 121,265 ", 0.9 ," 1,336 "
3646, 15.8 ," 120,574 ", 16.7 ," 121,908 ", 0.9 ," 1,334 "
3647, 15.9 ," 121,218 ", 16.8 ," 122,550 ", 0.9 ," 1,331 "
3648, 16.1 ," 121,864 ", 17.0 ," 123,192 ", 0.9 ," 1,328 "
3649, 16.2 ," 122,508 ", 17.1 ," 123,834 ", 0.9 ," 1,327 "
3650, 16.3 ," 123,136 ", 17.2 ," 124,477 ", 0.9 ," 1,340 "
3651, 16.4 ," 123,755 ", 17.3 ," 125,119 ", 0.9 ," 1,364 "
3652, 16.6 ," 124,390 ", 17.5 ," 125,761 ", 0.9 ," 1,371 "
3653, 16.7 ," 125,022 ", 17.6 ," 126,403 ", 0.9 ," 1,381 "
3654, 16.8 ," 125,650 ", 17.7 ," 127,046 ", 0.9 ," 1,395 "
3655, 16.9 ," 126,272 ", 17.8 ," 127,688 ", 0.9 ," 1,416 "
3656, 17.1 ," 126,894 ", 18.0 ," 128,330 ", 0.9 ," 1,436 "
3657, 17.2 ," 127,518 ", 18.1 ," 128,972 ", 0.9 ," 1,454 "
3658, 17.3 ," 128,153 ", 18.2 ," 129,615 ", 0.9 ," 1,462 "
3659, 17.4 ," 128,794 ", 18.4 ," 130,257 ", 0.9 ," 1,463 "
3660, 17.6 ," 129,438 ", 18.5 ," 130,899 ", 0.9 ," 1,461 "
3661, 17.7 ," 130,071 ", 18.6 ," 131,636 ", 0.9 ," 1,565 "
3662, 17.8 ," 130,744 ", 18.8 ," 132,374 ", 0.9 ," 1,630 "
3663, 18.0 ," 131,416 ", 18.9 ," 133,111 ", 0.9 ," 1,695 "
3664, 18.1 ," 132,068 ", 19.0 ," 133,849 ", 0.9 ," 1,781 "
3665, 18.2 ," 132,731 ", 19.2 ," 134,586 ", 0.9 ," 1,855 "
3666, 18.4 ," 133,383 ", 19.3 ," 135,323 ", 0.9 ," 1,941 "
3667, 18.5 ," 134,040 ", 19.4 ," 136,061 ", 0.9 ," 2,020 "
3668, 18.6 ," 134,708 ", 19.6 ," 136,798 ", 0.9 ," 2,091 "
